,Title,Location,Salary,Description,ID
84,Xamarin Developer,"Saint Charles, IL",$89K - $119K (Glassdoor est.),"Comfortable working with Agile development methodologies. Able to consume and understand web services.&hellip;
Skills: Xamarin, Agile, Web services",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.509
85,Senior Software Engineer,"West Chicago, IL",$113K - $145K (Glassdoor est.),"Bachelor's degree in Computer Science, Engineering, or related field. Designing and developing front-end applications using Angular framework and Blazor.&hellip;
Skills: CI/CD, Computer science, Azure, DevOps, C#",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.513
86,"Sr. Mgr, Software Eng.","Chicago, IL",$149K - $218K (Employer est.),"Ability to translate and articulate an engineering strategy/approach to senior executives and other non-technical business leaders.&hellip;
Skills: Elasticsearch, Management, Cloud architecture, React, Kubernetes",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.517
87,Sr. Lead Software Engineer - Mobile,"Lisle, IL",$138K - $206K (Employer est.),"The individual will be responsible for the overall solutions in the mobile domain including providing technical and architectural leadership and oversight,…&hellip;
Skills: Azure, iOS development, Agile, Communication skills",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.521
88,Senior Software Engineer - Full Stack Java Developer,"Deerfield, IL",$128K - $204K (Employer est.),"Willing to travel up to/at least 10% of the time for business purposes (within state and out of state). Hands on with modern UI frameworks like React with…&hellip;
Skills: Oracle, Node.js, Cassandra, React, Software deployment",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.525
89,Imaging Software Engineer,"Chicago, IL",$100K - $150K (Employer est.),"Bachelor’s degree in Computer Science, Electrical Engineering, or related field. In this role, you will be responsible for developing prototypes of future…&hellip;
Skills: Software troubleshooting, Analysis skills, C++, Software development, Agile",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.529
90,Staff Software Engineer - Platform Enginering,"Oak Brook, IL",$98K - $184K (Employer est.),"Act as a technical authority and key driver in the design, development, and delivery of innovative features, collaborating with product owners, front-end,…&hellip;
Skills: CI/CD, Computer science, Cloud architecture, Software troubleshooting, Kubernetes",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.652
91,Lead Java Engineer,"Chicago, IL",$70.00 - $87.00 Per Hour (Employer est.),"Additionally, they will have experience owning their work from design through implementation and deployment as well as experience mentoring and guiding a team.&hellip;
Skills: Computer science, Elasticsearch, Cloud architecture, Software deployment, DevOps",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.653
92,R&D Software Engineer ICB-3,"Lisle, IL",$91K - $146K (Employer est.),"Reviewing software engineering artifacts such as functional specifications, design specifications, code, unit tests, system test plans, and feature test plans…&hellip;
Skills: CI/CD, Test automation, Test-driven development, C, Mentoring",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.654
93,Senior Software Engineer R&D,"Lisle, IL",$91K - $146K (Employer est.),"Work closely with other engineers in the Agile team to understand design and implementation to create comprehensive test plans.&hellip;
Skills: CI/CD, TestNG, JUnit, Writing skills, Test automation",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.658
94,Software Engineer,"Deerfield, IL",$99K - $158K (Employer est.),"Bachelor’s Degree and at least 2 years of Engineering, Software Engineering or similar field experience OR High School/ GED and at least 4 years of Engineering,…&hellip;
Skills: CI/CD, Cognos, Computer science, Power BI, Cloud infrastructure",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.662
95,Software Engineer,"Lisle, IL",$58K - $116K (Employer est.),"Participate in technical activities spanning multiple technical disciplines including security analysis, software/tool development, software test, development…&hellip;
Skills: Authentication, Computer science, Operating systems, Encryption, Laboratory experience",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.666
96,Software Engineer R&D,"Lisle, IL",$107K - $171K (Employer est.),"Proven track record of leading technical teams, driving projects to completion, and mentoring junior developers.&hellip;
Skills: CI/CD, Authentication, React, Java, Database design",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.670
97,Programmer I,"Chicago, IL",$65K - $88K (Employer est.),"Working knowledge of Java and J2EE technologies (JSP, Hibernate, Spring, Struts) and at least one other commonly used programming language such as C# or Python;…&hellip;
Skills: Kanban, Customer service, Software deployment, C#, iOS",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.674
98,Software Engineer,"Chicago, IL",$100K - $130K (Employer est.),"Enjoy seeing their own efforts have an outsized impact on the business and our customers. Data collected directly from the trailer’s sensors and components…&hellip;
Skills: React, Relational databases, Java, Application development, Databases",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.678
99,Software Development Engineer II,"Oak Brook, IL",$90K - $110K (Employer est.),"Individual responsible for all traditional development activities like analysis, design, coding, testing and documentation. 4+ years of experience with VB.&hellip;
Skills: Computer science, XML, Visual Basic, .NET Core, Visual Studio",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.682
100,Software Developers and Application,"Elgin, IL",,"Gather requirements to analyze and evaluate existing or proposed systems, Customization of the existing system, Analyze and evaluate present or proposed…&hellip;
Skills: OOP",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.686
101,"Software Development Engineer II, Amazon Advertising, Partner Enablement and Growth Team - Amazon Ads","Chicago, IL",$129K - $224K (Employer est.),"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience.&hellip;
Skills: Computer science, APIs, SDLC, Design patterns",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.689
102,Forgerock Developer,"Aurora, IL",,"IG/ FRAM/ FRIM/ FRDS Should have working knowledge of Java Good analytical and troubleshooting skills Should be able to provide support for production and…&hellip;
Skills: CI/CD, Software troubleshooting, Java, Analysis skills, Identity & access management",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.692
103,Software Engineer II,"Chicago, IL",$85K - $141K (Employer est.),"Troubleshoots own code and helps others find bugs in own code. Uses design or analysis patterns periodically, following SDLC process independently.&hellip;
Skills: Google Cloud Platform, Java, SQL, APIs, Unit testing",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.695
104,C++ and C# Software Developer,"Hines, IL",$85K - $154K (Employer est.),"If no bachelor’s degree in computer science, electronics engineering or other engineering or technical discipline, the experience requirement is 16 or more…&hellip;
Skills: Web design, AJAX, Azure, MVC, CSS",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.699
105,Webmaster,"Oswego, IL",$50K - $88K (Glassdoor est.),"Use ALLY tool and repair severe accessibility issues on sites throughout the year: Webmasters should check social media accounts at least every two weeks for…&hellip;
Skills: CSS, Microsoft Office, Adobe Acrobat, HTML",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.703
106,AI & Web Developer,"Glenview, IL",$72K - $108K (Employer est.),"Communication Skills: Excellent verbal, interpersonal, and written communication skills with the ability to convey technical information clearly to various…&hellip;
Skills: React, .NET, Java, Natural language processing, Organizational skills",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.707
107,"Sr. Database Developer - Chicago, Illinois","Chicago, IL",$70.00 - $75.00 Per Hour (Employer est.),"Bachelor's degree in Computer Science or related field. Familiarity with database design, server architecture, and data warehousing concepts.&hellip;
Skills: Computer science, SAP, Databases, SQL, Database design",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.711
108,Application Developer,"Lisle, IL",$78K - $109K (Glassdoor est.),"Carry system analysis, impact analysis, design & coding, defect fixing for production issues & code review for . Net framework (WCF, WPF, WF, LINQ), ASP.&hellip;
Skills: ASP.NET, Visual Studio, J2EE, .NET, WCF",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.715
109,API Support Specialist,"Chicago, IL",$57K - $85K (Glassdoor est.),"Bachelor or advanced degree in Computer Science or related field. Assisting clients in developing and troubleshooting their applications, which connect through…&hellip;
Skills: Computer science, Operating systems, Software troubleshooting, C#, Git",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.719
110,Senior Software Engineer,"Westchester, IL",$106K - $159K (Glassdoor est.),"NET, MVC, Web API, WCF, RESTful and front end technologies such as JavaScript, jQuery, JSON, HTML5, knockout JS. NET, MVC, Web API, SQL Server.&hellip;
Skills: ASP.NET, MVC, C#, Test automation, Microsoft SQL Server",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.723
111,Application Software Developer-2,"Chicago, IL",$84K - $120K (Glassdoor est.),"Minimum requirements include a college or university degree in related field. Assist with the design, architecture and implementation of software solutions.&hellip;
Skills: CI/CD, CSS, Cassandra, React, WordPress",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.727
112,Mobile Test Automation Engineer,"Oak Brook, IL",$75K - $100K (Employer est.),"Develop and Maintain Automation Frameworks : Design, develop, and maintain scalable and efficient automation frameworks using Appium and Selenium for mobile…&hellip;
Skills: CI/CD, TestNG, Operating systems, JUnit, Bamboo",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.731
113,Web Developer (Hybrid),"Evanston, IL",$80K - $113K (Employer est.),"A master’s degree in a related technical field. Proficiency in: HTML, CSS, Cascade (CMS), XML, XSLT, JavaScript, PHP, Ruby, Data Structures, JSON, Responsive…&hellip;
Skills: Microsoft Powerpoint, Microsoft Word, CRM software, Web accessibility, Microsoft Excel",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.735
114,Software Engineer (RxR),"Deerfield, IL",$95K - $152K (Employer est.),"Willing to travel up to/at least 10% of the time for business purposes (within state and out of state). Bachelor's degree in computer science, Information…&hellip;
Skills: CI/CD, SSO, Computer science, Cloud infrastructure, Node.js",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.739
115,Senior Go Lang Developer,"Chicago, IL",$100.00 Per Hour (Employer est.),"Collaborate with cross-functional teams to design and implement robust and scalable applications. Provide technical guidance and foster a culture of continuous…&hellip;
Skills: Go, Management, Database development, Microsoft SQL Server, Java",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.743
116,ADAS Software Engineer,"Chicago, IL",$105K - $114K (Employer est.),"Experience in the field of autonomous driving or ADAS systems. Ability to be independent both individually and with a team.&hellip;
Skills: ADAS, Management, Research, C++, C",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.747
117,Senior Software Engineer Java (Full Stack/Back End),"Chicago, IL",$114K - $155K (Employer est.),"Executes software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to build…&hellip;
Skills: CI/CD, Software troubleshooting, React, System design, Java",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.751
118,Freelance Wordpress Developer,"Chicago, IL",$45K - $70K (Glassdoor est.),"Experience developing in PHP, HTML, XML, and javascript, as well as a basic understanding of database design are a plus. Adhere to version control policies.&hellip;
Skills: AJAX, CSS, Bootstrap, React, WordPress",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.755
119,Software Engineers,"Schaumburg, IL",$86K - $125K (Glassdoor est.),"Gather, analyze, design, write code, document, customize, maintain, test, and modify software and computer applications using any combination of the following…&hellip;
Skills: Cognos, Pegasystems, ASP.NET, Oracle, XML",f.2C0C23F8300AE44450E143481AD09440.d.CE69396302D3458F33D38CB5270221F1.e.759
